ID	Customer_ID	Month	Name	Age	SSN	Occupation	Annual_Income	Monthly_Inhand_Salary	Num_Bank_Accounts	Num_Credit_Card	Interest_Rate	Num_of_Loan	Type_of_Loan	Delay_from_due_date	Num_of_Delayed_Payment	Changed_Credit_Limit	Num_Credit_Inquiries	Credit_Mix	Outstanding_Debt	Credit_Utilization_Ratio	Credit_History_Age	Payment_of_Min_Amount	Total_EMI_per_month	Amount_invested_monthly	Payment_Behaviour	Monthly_Balance	Credit_Score
5747	47624	6	Jamesj	44	366681681	Journalist	31370.8	2825.233333333333	1	6	12	2	Not Specified, and Payday Loan	1	0	5.76	5	Good	421.43	25.502468550245663	322	No	46.61612907334207	22.29805714008664	Low_spent_Medium_value_payments	378.18977936486505	Good
5748	47624	7	Jamesj	45	366681681	Journalist	31370.8	2825.233333333333	1	6	12	2	Not Specified, and Payday Loan	1	2	5.76	5	Good	421.43	22.762202172732568	323	No	46.61612907334207	22.29805714008664	Low_spent_Small_value_payments	337.51230376982244	Good
5749	47624	8	Jamesj	45	366681681	Journalist	31370.8	2825.233333333333	1	6	12	2	Not Specified, and Payday Loan	1	2	5.76	5	Good	421.43	37.56505276771999	324	No	46.61612907334207	22.29805714008664	Low_spent_Small_value_payments	273.2623770631024	Good
5754	42603	1	Saphirj	40	221308554	Teacher	33751.27	2948.605833333333	5	5	20	3	Credit-Builder Loan, Personal Loan, and Auto Loan	16	20	11	4	Standard	1328.93	37.08907564543987	230	NM	65.00817428651536	25.192561910314712	High_spent_Medium_value_payments	362.5457119402324	Standard
5755	42603	2	Saphirj	40	221308554	Teacher	33751.27	2948.605833333333	5	5	20	3	Credit-Builder Loan, Personal Loan, and Auto Loan	16	20	11	4	Standard	1328.93	30.908080633467584	231	Yes	65.00817428651536	25.192561910314712	High_spent_Large_value_payments	399.7213311259382	Standard
5756	42603	3	Saphirj	40	221308554	Teacher	33751.27	2948.605833333333	5	5	20	3	Credit-Builder Loan, Personal Loan, and Auto Loan	16	20	11	8	Standard	1328.93	38.03072168039317	232	Yes	65.00817428651536	25.192561910314712	Low_spent_Large_value_payments	229.6698268253028	Standard
5757	42603	4	Saphirj	40	221308554	Teacher	33751.27	2948.605833333333	5	5	20	3	Credit-Builder Loan, Personal Loan, and Auto Loan	17	22	11	8	Standard	1328.93	23.40441277698757	233	Yes	65.00817428651536	25.192561910314712	High_spent_Large_value_payments	444.6598471365032	Standard
5758	42603	5	Saphirj	40	221308554	Teacher	33751.27	2948.605833333333	5	5	20	3	Credit-Builder Loan, Personal Loan, and Auto Loan	16	20	8	8	Standard	1328.93	29.073758182245705	234	Yes	65.00817428651536	25.192561910314712	Low_spent_Small_value_payments	276.5227242515123	Standard
5759	42603	6	Saphirj	40	221308554	Teacher	33751.27	2948.605833333333	5	5	20	3	Credit-Builder Loan, Personal Loan, and Auto Loan	16	20	11	8	Standard	1328.93	32.78263672653516	235	Yes	65.00817428651536	25.192561910314712	High_spent_Medium_value_payments	406.9923272339233	Standard
5760	42603	7	Saphirj	40	221308554	Teacher	33751.27	2948.605833333333	5	5	20	3	Credit-Builder Loan, Personal Loan, and Auto Loan	16	20	11	8	Standard	1328.93	35.58400504980836	236	Yes	65.00817428651536	25.192561910314712	Low_spent_Small_value_payments	444.4252395051343	Standard
5761	42603	8	Saphirj	41	221308554	Teacher	33751.27	2948.605833333333	5	5	20	3	Credit-Builder Loan, Personal Loan, and Auto Loan	16	17	11	8	Standard	1328.93	31.13948358493632	237	Yes	65.00817428651536	25.192561910314712	High_spent_Large_value_payments	443.88279713203934	Standard
5766	49323	1	Soyoungd	32	342902649	Engineer	88640.24	7266.686666666667	3	6	1	2	Payday Loan, and Payday Loan	4	0	3.51	3	Good	950.36	28.210617211444603	305	No	135.17337097171767	77.84134310772485	High_spent_Large_value_payments	732.5635317	Standard
5767	49323	2	Soyoungd	33	342902649	Engineer	88640.24	7266.686666666667	3	6	1	2	Payday Loan, and Payday Loan	4	2	3.51	3	Good	950.36	41.036168282350594	306	NM	135.17337097171767	77.84134310772485	High_spent_Large_value_payments	674.3205073907143	Good
5768	49323	3	Soyoungd	33	342902649	Engineer	88640.24	7266.686666666667	3	6	1	2	Payday Loan, and Payday Loan	4	0	3.51	3	Good	950.36	34.67019437922772	307	No	135.17337097171767	77.84134310772485	High_spent_Medium_value_payments	543.3063842324688	Standard
5769	49323	4	Soyoungd	33	342902649	Engineer	88640.24	7266.686666666667	3	6	1	2	Payday Loan, and Payday Loan	4	2	3.51	3	Good	950.36	31.82853557484664	308	No	135.17337097171767	77.84134310772485	Low_spent_Small_value_payments	86.63611982901625	Standard
5770	49323	5	Soyoungd	33	342902649	Engineer	88640.24	7266.686666666667	3	6	1	2	Payday Loan, and Payday Loan	4	2	3.51	3	Good	950.36	34.702836927947075	309	No	135.17337097171767	77.84134310772485	High_spent_Medium_value_payments	561.8766736172248	Good
5771	49323	6	Soyoungd	33	342902649	Engineer	88640.24	7266.686666666667	3	6	1	2	Payday Loan, and Payday Loan	4	0	3.51	3	Good	950.36	38.32363895436978	310	No	135.17337097171767	77.84134310772485	Low_spent_Small_value_payments	195.36907909976551	Good
5772	49323	7	Soyoungd	33	342902649	Engineer	88640.24	7266.686666666667	3	6	1	2	Payday Loan, and Payday Loan	4	2	3.51	3	Good	950.36	25.97917280396149	311	No	135.17337097171767	77.84134310772485	High_spent_Large_value_payments	667.4204738170387	Good
5773	49323	8	Soyoungd	33	342902649	Engineer	88640.24	7266.686666666667	3	6	1	2	Payday Loan, and Payday Loan	4	2	3.51	3	Good	950.36	30.87079911079545	312	No	135.17337097171767	77.84134310772485	High_spent_Large_value_payments	733.0533444127112	Good
5778	15941	1	Harriet McLeodd	35	414532918	Entrepreneur	54392.16	4766.68	6	4	14	3	Not Specified, Student Loan, and Personal Loan	10	8	5.54	3	Standard	179.22	25.64924606724341	322	Yes	124.39208242092045	33.349568589344514	Low_spent_Large_value_payments	378.54048018698535	Standard
5779	15941	2	Harriet McLeodd	35	414532918	Entrepreneur	54392.16	4766.68	6	4	14	3	Not Specified, Student Loan, and Personal Loan	10	10	4.54	3	Standard	179.22	29.40877527612245	323	Yes	124.39208242092045	33.349568589344514	High_spent_Medium_value_payments	459.52405345965286	Standard
5780	15941	3	Harriet McLeodd	35	414532918	Entrepreneur	54392.16	4766.68	6	4	14	3	Not Specified, Student Loan, and Personal Loan	15	11	5.54	3	Standard	179.22	31.25892846912917	324	NM	124.39208242092045	33.349568589344514	High_spent_Large_value_payments	558.9263489897351	Standard
5781	15941	4	Harriet McLeodd	35	414532918	Entrepreneur	54392.16	4766.68	6	4	14	3	Not Specified, Student Loan, and Personal Loan	10	7	0.54	3	Standard	179.22	27.19258740532601	325	Yes	124.39208242092045	33.349568589344514	Low_spent_Small_value_payments	147.43368987341347	Standard
